YEAR,MO,DY,HR,T2M,PS,WS50M,WD50M,RH2M
2014,1,1,0,4.38,98.01,9.33,183,97
2014,1,1,1,4.38,97.97,8.69,184.2,97.34
2014,1,1,2,4.26,97.94,8.02,182.4,97.57
2014,1,1,3,4.12,97.91,7.94,183.6,97.92
2014,1,1,4,3.93,97.88,7.56,174.2,98.25
2014,1,1,5,3.87,97.83,8.01,165.4,98.23
2014,1,1,6,4,97.77,8.8,162.7,98.04
2014,1,1,7,4.2,97.68,9.19,156.8,98.09
2014,1,1,8,4.54,97.58,9.93,150.2,97.71
2014,1,1,9,5.07,97.45,11.12,145.9,97.23
2014,1,1,10,5.53,97.25,12.46,140.9,96.38
2014,1,1,11,5.73,96.99,14.6,138.7,95.47
2014,1,1,12,5.68,96.68,16.95,142,94.32
2014,1,1,13,5.46,96.43,17.08,150.8,94.15
2014,1,1,14,6.3,96.25,14.93,164.9,94.78
2014,1,1,15,8.37,96.15,13.59,177.6,95.14
2014,1,1,16,9.39,96.13,13.04,182,95.66
2014,1,1,17,9.5,96.11,12.91,181.2,95.84
2014,1,1,18,9.38,96.09,12.93,180.5,95.82
2014,1,1,19,9.24,96.1,12.76,182.8,95.69
2014,1,1,20,9.04,96.12,12.42,187.6,95.54
2014,1,1,21,8.74,96.14,11.62,195,95.35
2014,1,1,22,8.21,96.2,10.32,208.2,95.37
2014,1,1,23,7.41,96.29,9.43,229.9,95.31
2014,1,2,0,6.31,96.43,9.08,250.2,95.37
2014,1,2,1,5.32,96.57,9.04,260.1,95.73
2014,1,2,2,5.05,96.7,8.52,260.1,96.44
2014,1,2,3,5.32,96.79,8.35,255.7,95.77
2014,1,2,4,5.32,96.9,8.99,251.8,95.71
2014,1,2,5,5.01,97.01,9.13,246.2,96.14
2014,1,2,6,4.53,97.13,8.39,232.2,97.33
2014,1,2,7,4.35,97.22,8.15,219.5,97.35
2014,1,2,8,4.21,97.33,8.29,214.7,97.48
2014,1,2,9,4.75,97.43,8.37,213.8,96.14
2014,1,2,10,5.51,97.5,8.13,212.2,94.35
2014,1,2,11,6.26,97.55,7.9,208.5,92.89
2014,1,2,12,6.9,97.57,8.23,208.9,91.09
2014,1,2,13,7.16,97.58,8.66,208.3,90.11
2014,1,2,14,6.84,97.56,8.7,201.9,90.99
2014,1,2,15,5.88,97.6,9.2,196.9,93.9
2014,1,2,16,5.14,97.62,9.23,187.4,96.22
2014,1,2,17,4.9,97.57,8.91,171.5,97.07
2014,1,2,18,5.05,97.54,9.03,164.5,97.1
2014,1,2,19,5.25,97.43,9.72,156.4,97.41
2014,1,2,20,5.51,97.31,10.87,156.3,97.61
2014,1,2,21,5.94,97.18,12.39,158.7,96.77
2014,1,2,22,6.63,97.02,14.22,165.7,95.13
2014,1,2,23,7.22,96.89,15.11,174.8,94.12
2014,1,3,0,7.66,96.81,14.1,186.4,94.05
2014,1,3,1,7.97,96.8,13.2,209.4,92.22
2014,1,3,2,7.14,96.84,13.27,226,86.8
2014,1,3,3,5.81,96.85,12.61,219,84.58
2014,1,3,4,5.37,96.83,13.27,209.2,84.25
2014,1,3,5,5.41,96.82,14.02,204.5,84.53
2014,1,3,6,5.54,96.82,14.71,202.1,85.13
2014,1,3,7,5.66,96.81,15.21,201.6,85.77
2014,1,3,8,5.86,96.82,15.6,202.3,86.6
2014,1,3,9,6.26,96.83,15.88,205,86.68
2014,1,3,10,6.74,96.85,15.91,207.1,84.19
2014,1,3,11,6.96,96.86,15.85,208.1,81.23
2014,1,3,12,6.92,96.85,15.87,209.1,80.52
2014,1,3,13,6.81,96.85,15.8,210,81.44
2014,1,3,14,6.54,96.88,15.71,210.7,83.15
2014,1,3,15,5.98,96.9,15.26,210.4,85.3
2014,1,3,16,5.35,96.93,14.9,209.8,87.05
2014,1,3,17,5.08,96.97,14.47,210.3,89.09
2014,1,3,18,5.16,97.03,14.54,214.8,89.88
2014,1,3,19,5.32,97.1,15.1,219.8,89.3
2014,1,3,20,5.49,97.18,15.81,222.9,88.5
2014,1,3,21,5.72,97.3,17.33,229.2,86.69
2014,1,3,22,5.8,97.45,17.69,236.1,84.49
2014,1,3,23,5.56,97.61,15.96,238.4,83.3
2014,1,4,0,4.98,97.71,13.46,234.6,84.49
2014,1,4,1,4.22,97.76,11.1,225.5,87.64
2014,1,4,2,3.35,97.79,9.02,205.5,92.2
2014,1,4,3,3.19,97.77,8.01,179.9,93.64
2014,1,4,4,2.99,97.7,7.39,160,95.11
2014,1,4,5,2.87,97.58,6.61,141.4,95.81
2014,1,4,6,3.04,97.44,6.48,126.9,95.75
2014,1,4,7,3.26,97.32,6.39,122.1,95.76
2014,1,4,8,3.27,97.24,6,128.8,95.82
2014,1,4,9,3.27,97.17,4.88,146.3,96.16
2014,1,4,10,3.57,97.13,3.96,175.5,95.67
2014,1,4,11,3.83,97.1,3.35,204.5,95.06
2014,1,4,12,4.15,97.09,3.76,221,94.64
2014,1,4,13,4.42,97.13,4.2,227.3,95.12
2014,1,4,14,4.47,97.18,4.52,238.2,96.5
2014,1,4,15,4.25,97.23,5.35,251.1,97.49
2014,1,4,16,4.03,97.3,6.07,255.1,97.55
2014,1,4,17,3.78,97.35,6.2,252.8,97.59
2014,1,4,18,3.51,97.43,6.41,244.6,97.17
2014,1,4,19,3.16,97.52,6.92,237.1,96.85
2014,1,4,20,2.73,97.61,7.54,233.1,96.37
2014,1,4,21,2.37,97.66,7.72,233.1,96.56
2014,1,4,22,2.49,97.73,7.85,237.8,95.17
2014,1,4,23,2.68,97.81,7.62,244.6,94.38
2014,1,5,0,2.75,97.86,7.45,249.5,94.39
2014,1,5,1,2.81,97.89,7.59,253.1,94.43
2014,1,5,2,2.88,97.96,8.03,253.4,94.66
2014,1,5,3,2.98,98.04,8.36,252.7,94.27
2014,1,5,4,2.52,98.09,7.7,248.1,95.31
2014,1,5,5,1.86,98.13,7.18,235.7,96.58
2014,1,5,6,1.45,98.2,7.19,219.9,97.45
2014,1,5,7,1.31,98.23,7.26,202.5,96.82
2014,1,5,8,1.43,98.22,7.62,182.9,95.75
2014,1,5,9,1.55,98.18,8.03,170.5,95.58
2014,1,5,10,1.98,98.14,8.68,165.8,95.1
2014,1,5,11,2.72,98.05,9.89,163.4,94.14
2014,1,5,12,3.37,97.98,10.66,162,93.86
2014,1,5,13,3.59,97.91,11.42,158,94.33
2014,1,5,14,3.79,97.78,13.49,157.7,94.83
2014,1,5,15,4.81,97.6,16.54,169,94.1
2014,1,5,16,5.64,97.43,16.31,171.7,94.63
2014,1,5,17,6.17,97.3,15.55,173,95.2
2014,1,5,18,6.52,97.18,14.21,173.1,95.85
2014,1,5,19,6.91,97.06,13.46,175.6,96.31
2014,1,5,20,7.48,96.91,12.08,185.1,96.36
2014,1,5,21,8.3,96.93,12.38,202.9,95.24
2014,1,5,22,8.34,96.9,11.52,211.8,95.22
2014,1,5,23,7.99,96.93,12.36,215.5,93.95
2014,1,6,0,7.61,96.94,13.02,213.1,93.02
